Unnamed: 0,budget,genres,id,keywords,original_language,original_title,overview,popularity,production_companies,release_date,revenue,runtime,spoken_languages,tagline,vote_average,vote_count,cast,crew,director,important_feature,weighted_avg
0,237000000,"['action', 'adventure', 'fantasy']",19995,"['culture clash', 'future', 'space war']",en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,"[{""name"": ""Ingenious Film Partners"", ""id"": 289}, {""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""Dune Entertainment"", ""id"": 444}, {""name"": ""Lightstorm Entertainment"", ""id"": 574}]",2009-12-10,2787965087,162.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}]",Enter the World of Pandora.,7.2,11800,"['sam worthington', 'zoe saldana', 'sigourney weaver']","['stephen e. rivkin', 'rick carter', 'christopher boyes']",James Cameron,culture clash future space war sam worthington zoe saldana sigourney weaver stephen e. rivkin rick carter christopher boyes James Cameron action adventure fantasy,6.355681641458304
1,300000000,"['adventure', 'fantasy', 'action']",285,"['ocean', 'drug abuse', 'exotic island']",en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Jerry Bruckheimer Films"", ""id"": 130}, {""name"": ""Second Mate Productions"", ""id"": 19936}]",2007-05-19,961000000,169.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","At the end of the world, the adventure begins.",6.9,4500,"['johnny depp', 'orlando bloom', 'keira knightley']","['dariusz wolski', 'gore verbinski', 'jerry bruckheimer']",Gore Verbinski,ocean drug abuse exotic island johnny depp orlando bloom keira knightley dariusz wolski gore verbinski jerry bruckheimer Gore Verbinski adventure fantasy action,5.174569933759624
2,245000000,"['action', 'adventure', 'crime']",206647,"['spy', 'based on novel', 'secret agent']",en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",107.376788,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Danjaq"", ""id"": 10761}, {""name"": ""B24"", ""id"": 69434}]",2015-10-26,880674609,148.0,"[{""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""es"", ""name"": ""Espa\u00f1ol""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}]",A Plan No One Escapes,6.3,4466,"['daniel craig', 'christoph waltz', 'léa seydoux']","['thomas newman', 'sam mendes', 'anna pinnock']",Sam Mendes,spy based on novel secret agent daniel craig christoph waltz léa seydoux thomas newman sam mendes anna pinnock Sam Mendes action adventure crime,4.741806931222694
3,250000000,"['action', 'crime', 'drama']",49026,"['dc comics', 'crime fighter', 'terrorist']",en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",112.31295,"[{""name"": ""Legendary Pictures"", ""id"": 923}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Syncopy"", ""id"": 9996}]",2012-07-16,1084939099,165.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",The Legend Ends,7.6,9106,"['christian bale', 'michael caine', 'gary oldman']","['hans zimmer', 'charles roven', 'christopher nolan']",Christopher Nolan,dc comics crime fighter terrorist christian bale michael caine gary oldman hans zimmer charles roven christopher nolan Christopher Nolan action crime drama,6.480397284371725
4,260000000,"['action', 'adventure', 'science fiction']",49529,"['based on novel', 'mars', 'medallion']",en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}]",2012-03-07,284139100,132.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]","Lost in our world, found in another.",6.1,2124,"['taylor kitsch', 'lynn collins', 'samantha morton']","['andrew stanton', 'andrew stanton', 'john lasseter']",Andrew Stanton,based on novel mars medallion taylor kitsch lynn collins samantha morton andrew stanton andrew stanton john lasseter Andrew Stanton action adventure science fiction,3.7195536650319863
5,258000000,"['fantasy', 'action', 'adventure']",559,"['dual identity', 'amnesia', 'sandstorm']",en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,"[{""name"": ""Columbia Pictures"", ""id"": 5}, {""name"": ""Laura Ziskin Productions"", ""id"": 326}, {""name"": ""Marvel Enterprises"", ""id"": 19551}]",2007-05-01,890871626,139.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}]",The battle within.,5.9,3576,"['tobey maguire', 'kirsten dunst', 'james franco']","['francine maisler', 'joseph m. caracciolo jr.', 'sam raimi']",Sam Raimi,dual identity amnesia sandstorm tobey maguire kirsten dunst james franco francine maisler joseph m. caracciolo jr. sam raimi Sam Raimi fantasy action adventure,4.223693157872968
6,260000000,"['animation', 'family']",38757,"['hostage', 'magic', 'horse']",en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,"[{""name"": ""Walt Disney Pictures"", ""id"": 2}, {""name"": ""Walt Disney Animation Studios"", ""id"": 6125}]",2010-11-24,591794936,100.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",They're taking adventure to new lengths.,7.4,3330,"['zachary levi', 'mandy moore', 'donna murphy']","['john lasseter', 'jacob grimm', 'wilhelm grimm']",Byron Howard,hostage magic horse zachary levi mandy moore donna murphy john lasseter jacob grimm wilhelm grimm Byron Howard animation family,5.1064277799087865
7,280000000,"['action', 'adventure', 'science fiction']",99861,"['marvel comic', 'sequel', 'superhero']",en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",134.279229,"[{""name"": ""Marvel Studios"", ""id"": 420}, {""name"": ""Prime Focus"", ""id"": 15357}, {""name"": ""Revolution Sun Studios"", ""id"": 76043}]",2015-04-22,1405403694,141.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",A New Age Has Come.,7.3,6767,"['robert downey jr.', 'chris hemsworth', 'mark ruffalo']","['danny elfman', 'christopher boyes', 'christopher boyes']",Joss Whedon,marvel comic sequel superhero robert downey jr. chris hemsworth mark ruffalo danny elfman christopher boyes christopher boyes Joss Whedon action adventure science fiction,5.941612486280014
8,250000000,"['adventure', 'fantasy', 'family']",767,"['witch', 'magic', 'broom']",en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",98.885637,"[{""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""Heyday Films"", ""id"": 7364}]",2009-07-07,933959197,153.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Dark Secrets Revealed,7.4,5293,"['daniel radcliffe', 'rupert grint', 'emma watson']","['bruno delbonnel', 'stephanie mcmillan', 'stuart craig']",David Yates,witch magic broom daniel radcliffe rupert grint emma watson bruno delbonnel stephanie mcmillan stuart craig David Yates adventure fantasy family,5.735730344489891
9,250000000,"['action', 'adventure', 'fantasy']",209112,"['dc comics', 'vigilante', 'superhero']",en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",155.790452,"[{""name"": ""DC Comics"", ""id"": 429}, {""name"": ""Atlas Entertainment"", ""id"": 507}, {""name"": ""Warner Bros."", ""id"": 6194}, {""name"": ""DC Entertainment"", ""id"": 9993}, {""name"": ""Cruel & Unusual Films"", ""id"": 9995}, {""name"": ""RatPac-Dune Entertainment"", ""id"": 41624}]",2016-03-23,873260194,151.0,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Justice or revenge,5.7,7004,"['ben affleck', 'henry cavill', 'gal gadot']","['hans zimmer', 'charles roven', 'christopher nolan']",Zack Snyder,dc comics vigilante superhero ben affleck henry cavill gal gadot hans zimmer charles roven christopher nolan Zack Snyder action adventure fantasy,4.71386617373367
